P!nk,dance pop,
P!nk,pop,
P!nk,post-teen pop,
Aerosmith,album rock,
Aerosmith,classic rock,
Aerosmith,hard rock,
Aerosmith,rock,
ABBA,swedish pop,
ABBA,europop,
Panic! At The Disco,emo,
Panic! At The Disco,modern rock,
Panic! At The Disco,pop punk,
Adele,british soul,
Adele,pop,
Adele,uk pop,
Lady Gaga,dance pop,
Lady Gaga,pop,
Ed Sheeran,pop,
Ed Sheeran,uk pop,
Bruno Mars,dance pop,
Bruno Mars,pop,
Bruno Mars,post-teen pop,
Drake,canadian hip hop,
Drake,canadian pop,
Drake,hip hop,
Drake,pop rap,
Drake,rap,
Eminem,detroit hip hop,
Eminem,g funk,
Eminem,hip hop,
Eminem,rap,
Kendrick Lamar,conscious hip hop,
Kendrick Lamar,hip hop,
Kendrick Lamar,pop rap,
Kendrick Lamar,rap,
Kendrick Lamar,west coast rap,
Cardi B,pop,
Cardi B,rap,
Coldplay,permanent wave,pop
Coldplay,pop,
Red Hot Chilli Peppers,alternative rock,
Red Hot Chilli Peppers,funk metal,
Red Hot Chilli Peppers,permanent wave,
Red Hot Chilli Peppers,post-grunge,
Red Hot Chilli Peppers,rock,
Arctic Monkeys,garage rock,
Arctic Monkeys,indie rock,
Arctic Monkeys,modern rock,
Arctic Monkeys,permanent wave,
Arctic Monkeys,rock,
Arctic Monkeys,sheffield indie,
Beyoncé,dance pop,
Beyoncé,pop,
Beyoncé,post-teen pop,
Beyoncé,r&b,
Florida Georgia Line,contemporary country,
Florida Georgia Line,country,
Florida Georgia Line,country pop,
Florida Georgia Line,country road,
Florida Georgia Line,modern country rock,
Luke Bryan,contemporary country,
Luke Bryan,country,
Luke Bryan,country road,
Carrie Underwood,contemporary country,
Carrie Underwood,country,
Carrie Underwood,country dawn,
Carrie Underwood,country road,
Carrie Underwood,dance pop,
Carrie Underwood,pop,
Carrie Underwood,post-teen pop,
Sam Hunt,contemporary country,
Sam Hunt,country pop,
Lady Antebellum,contemporary country,
Lady Antebellum,country,
Lady Antebellum,country dawn,
Lady Antebellum,country pop,
Lady Antebellum,country road,
Lady Antebellum,neo mellow,
The Beatles,british invasion,
The Beatles,merseybeat,
The Beatles,psychedelic rock,
The Beatles,rock,
Metallica,hard rock,
Metallica,metal,
Metallica,old school thrash,
Metallica,rock,
Metallica,speed metal,
Metallica,thrash metal,
U2,irish rock,
U2,permanent wave,
U2,rock,
Foo Fighters,alternative metal,
Foo Fighters,alternative rock,
Foo Fighters,modern rock,
Foo Fighters,permanent wave,
Foo Fighters,post-grunge,
Foo Fighters,rock,
Queen,glam rock,
Queen,rock,
Imagine Dragons,modern rock,
Imagine Dragons,rock,
Maroon5,pop,
Pearl Jam,alternative rock,
Pearl Jam,grunge,
Pearl Jam,permanent wave,
Pearl Jam,pop rock,
Pearl Jam,post-grunge,
Pearl Jam,rock,
Kanye West,chicago rap,
Kanye West,pop rap,
Kanye West,rap,
Blake Shelton,contemporary country,
Blake Shelton,country,
Blake Shelton,country road,
Sam Smith,pop,post-teen pop
Sam Smith,post-teen pop,
